wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run c2mc7zxw
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260311_093524-c2mc7zxw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run nlp-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/c2mc7zxw
Track: nlp
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 2,621,440
  value_embeds            : 7,864,320
  lm_head                 : 2,621,440
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 21,709,292
Estimated FLOPs per token: 9.879840e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010832 | lrm: 1.00 | dt: 3078ms | tok/sec: 21,291 | mfu: 1.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.107068 | lrm: 1.00 | dt: 1119ms | tok/sec: 58,569 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.941732 | lrm: 1.00 | dt: 231ms | tok/sec: 284,141 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.699428 | lrm: 1.00 | dt: 231ms | tok/sec: 284,195 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.381448 | lrm: 1.00 | dt: 231ms | tok/sec: 284,127 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.092753 | lrm: 1.00 | dt: 231ms | tok/sec: 284,159 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.842661 | lrm: 1.00 | dt: 231ms | tok/sec: 283,977 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.618115 | lrm: 1.00 | dt: 231ms | tok/sec: 284,202 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.422807 | lrm: 1.00 | dt: 231ms | tok/sec: 283,954 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.252739 | lrm: 1.00 | dt: 231ms | tok/sec: 283,910 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.100643 | lrm: 1.00 | dt: 231ms | tok/sec: 284,256 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.967200 | lrm: 1.00 | dt: 231ms | tok/sec: 284,011 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.847651 | lrm: 1.00 | dt: 231ms | tok/sec: 283,905 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 6.743029 | lrm: 1.00 | dt: 231ms | tok/sec: 283,821 | mfu: 22.4% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.641575 | lrm: 1.00 | dt: 231ms | tok/sec: 284,036 | mfu: 22.4% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.553241 | lrm: 1.00 | dt: 230ms | tok/sec: 284,459 | mfu: 22.5% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.472402 | lrm: 1.00 | dt: 231ms | tok/sec: 284,286 | mfu: 22.5% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 6.398868 | lrm: 1.00 | dt: 230ms | tok/sec: 284,391 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 6.334424 | lrm: 1.00 | dt: 230ms | tok/sec: 284,609 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 6.270594 | lrm: 1.00 | dt: 230ms | tok/sec: 284,542 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 6.213929 | lrm: 1.00 | dt: 230ms | tok/sec: 284,595 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 6.159088 | lrm: 1.00 | dt: 230ms | tok/sec: 284,465 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00022 (0.8%) | loss: 6.107902 | lrm: 1.00 | dt: 230ms | tok/sec: 284,394 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 6.059603 | lrm: 1.00 | dt: 230ms | tok/sec: 284,704 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 6.020226 | lrm: 1.00 | dt: 230ms | tok/sec: 284,510 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00058 (3.6%) | loss: 5.327753 | lrm: 1.00 | dt: 230ms | tok/sec: 284,601 | mfu: 22.5% | epoch: 1 | remaining: 289s    
step 00059 (3.7%) | loss: 5.312644 | lrm: 1.00 | dt: 231ms | tok/sec: 284,270 | mfu: 22.5% | epoch: 1 | remaining: 289s    
step 00060 (3.8%) | loss: 5.296591 | lrm: 1.00 | dt: 231ms | tok/sec: 284,273 | mfu: 22.5% | epoch: 1 | remaining: 288s    
step 00061 (3.8%) | loss: 5.283541 | lrm: 1.00 | dt: 230ms | tok/sec: 284,428 | mfu: 22.5% | epoch: 1 | remaining: 288s    
step 00062 (3.9%) | loss: 5.268049 | lrm: 1.00 | dt: 231ms | tok/sec: 284,283 | mfu: 22.5% | epoch: 1 | remaining: 288s    
step 00063 (4.0%) | loss: 5.253905 | lrm: 1.00 | dt: 230ms | tok/sec: 284,436 | mfu: 22.5% | epoch: 1 | remaining: 288s    
step 00064 (4.1%) | loss: 5.236240 | lrm: 1.00 | dt: 231ms | tok/sec: 284,162 | mfu: 22.5% | epoch: 1 | remaining: 288s    
step 00065 (4.1%) | loss: 5.220893 | lrm: 1.00 | dt: 230ms | tok/sec: 284,330 | mfu: 22.5% | epoch: 1 | remaining: 287s    
step 00066 (4.2%) | loss: 5.201987 | lrm: 1.00 | dt: 231ms | tok/sec: 284,309 | mfu: 22.5% | epoch: 1 | remaining: 287s    
step 00067 (4.3%) | loss: 5.195649 | lrm: 1.00 | dt: 230ms | tok/sec: 284,494 | mfu: 22.5% | epoch: 1 | remaining: 287s    
step 00068 (4.4%) | loss: 5.185662 | lrm: 1.00 | dt: 230ms | tok/sec: 284,383 | mfu: 22.5% | epoch: 1 | remaining: 287s    
step 00069 (4.5%) | loss: 5.163165 | lrm: 1.00 | dt: 230ms | tok/sec: 284,393 | mfu: 22.5% | epoch: 1 | remaining: 286s    
step 00070 (4.5%) | loss: 5.144332 | lrm: 1.00 | dt: 231ms | tok/sec: 284,152 | mfu: 22.5% | epoch: 1 | remaining: 286s    
step 00071 (4.6%) | loss: 5.133736 | lrm: 1.00 | dt: 231ms | tok/sec: 284,246 | mfu: 22.5% | epoch: 1 | remaining: 286s    
step 00072 (4.7%) | loss: 5.121537 | lrm: 1.00 | dt: 230ms | tok/sec: 284,543 | mfu: 22.5% | epoch: 1 | remaining: 286s    
step 00073 (4.8%) | loss: 5.112591 | lrm: 1.00 | dt: 230ms | tok/sec: 284,418 | mfu: 22.5% | epoch: 1 | remaining: 285s    
step 00074 (4.8%) | loss: 5.099456 | lrm: 1.00 | dt: 230ms | tok/sec: 284,622 | mfu: 22.5% | epoch: 1 | remaining: 285s    
step 00075 (4.9%) | loss: 5.083346 | lrm: 1.00 | dt: 230ms | tok/sec: 284,404 | mfu: 22.5% | epoch: 1 | remaining: 285s    
step 00076 (5.0%) | loss: 5.069983 | lrm: 1.00 | dt: 230ms | tok/sec: 284,397 | mfu: 22.5% | epoch: 1 | remaining: 285s    
step 00077 (5.1%) | loss: 5.057858 | lrm: 1.00 | dt: 230ms | tok/sec: 284,482 | mfu: 22.5% | epoch: 1 | remaining: 285s    
step 00078 (5.1%) | loss: 5.047282 | lrm: 1.00 | dt: 230ms | tok/sec: 284,448 | mfu: 22.5% | epoch: 1 | remaining: 284s    
step 00079 (5.2%) | loss: 5.031153 | lrm: 1.00 | dt: 230ms | tok/sec: 284,448 | mfu: 22.5% | epoch: 1 | remaining: 284s    
step 00080 (5.3%) | loss: 5.019585 | lrm: 1.00 | dt: 230ms | tok/sec: 284,564 | mfu: 22.5% | epoch: 1 | remaining: 284s    
step 00081 (5.4%) | loss: 5.004527 | lrm: 1.00 | dt: 230ms | tok/sec: 284,639 | mfu: 22.5% | epoch: 1 | remaining: 284s    
step 00082 (5.5%) | loss: 4.991130 | lrm: 1.00 | dt: 230ms | tok/sec: 284,551 | mfu: 22.5% | epoch: 1 | remaining: 283s    
step 00083 (5.5%) | loss: 4.981286 | lrm: 1.00 | dt: 231ms | tok/sec: 284,277 | mfu: 22.5% | epoch: 1 | remaining: 283s    
step 00084 (5.6%) | loss: 4.971318 | lrm: 1.00 | dt: 230ms | tok/sec: 284,450 | mfu: 22.5% | epoch: 1 | remaining: 283s    
step 00085 (5.7%) | loss: 4.960883 | lrm: 1.00 | dt: 230ms | tok/sec: 284,638 | mfu: 22.5% | epoch: 1 | remaining: 283s    
step 00086 (5.8%) | loss: 4.949643 | lrm: 1.00 | dt: 230ms | tok/sec: 284,397 | mfu: 22.5% | epoch: 1 | remaining: 282s    
step 00087 (5.8%) | loss: 4.933358 | lrm: 1.00 | dt: 230ms | tok/sec: 284,391 | mfu: 22.5% | epoch: 1 | remaining: 282s    
step 00088 (5.9%) | loss: 4.923584 | lrm: 1.00 | dt: 230ms | tok/sec: 284,344 | mfu: 22.5% | epoch: 1 | remaining: 282s    
step 00089 (6.0%) | loss: 4.911835 | lrm: 1.00 | dt: 230ms | tok/sec: 284,587 | mfu: 22.5% | epoch: 1 | remaining: 282s    
step 00090 (6.1%) | loss: 4.904206 | lrm: 1.00 | dt: 231ms | tok/sec: 284,227 | mfu: 22.5% | epoch: 1 | remaining: 282s    
step 00091 (6.1%) | loss: 4.897151 | lrm: 1.00 | dt: 230ms | tok/sec: 284,525 | mfu: 22.5% | epoch: 1 | remaining: 281s    
step 00092 (6.2%) | loss: 4.892498 | lrm: 1.00 | dt: 230ms | tok/sec: 284,341 | mfu: 22.5% | epoch: 1 | remaining: 281s    
step 00093 (6.3%) | loss: 4.884312 | lrm: 1.00 | dt: 230ms | tok/sec: 284,384 | mfu: 22.5% | epoch: 1 | remaining: 281s    
step 00094 (6.4%) | loss: 4.873771 | lrm: 1.00 | dt: 230ms | tok/sec: 284,572 | mfu: 22.5% | epoch: 1 | remaining: 281s    
step 00095 (6.5%) | loss: 4.865453 | lrm: 1.00 | dt: 230ms | tok/sec: 284,513 | mfu: 22.5% | epoch: 1 | remaining: 280s    
step 00096 (6.5%) | loss: 4.853852 | lrm: 1.00 | dt: 231ms | tok/sec: 283,908 | mfu: 22.4% | epoch: 1 | remaining: 280s    
step 00097 (6.6%) | loss: 4.847535 | lrm: 1.00 | dt: 230ms | tok/sec: 284,524 | mfu: 22.5% | epoch: 1 | remaining: 280s    
step 00098 (6.7%) | loss: 4.833416 | lrm: 1.00 | dt: 230ms | tok/sec: 284,390 | mfu: 22.5% | epoch: 1 | remaining: 280s    
step 00099 (6.8%) | loss: 4.830759 | lrm: 1.00 | dt: 230ms | tok/sec: 284,362 | mfu: 22.5% | epoch: 1 | remaining: 279s    
step 00100 (6.8%) | loss: 4.818738 | lrm: 1.00 | dt: 231ms | tok/sec: 284,307 | mfu: 22.5% | epoch: 1 | remaining: 279s    
step 00101 (6.9%) | loss: 4.809454 | lrm: 1.00 | dt: 230ms | tok/sec: 284,421 | mfu: 22.5% | epoch: 1 | remaining: 279s    
step 00102 (7.0%) | loss: 4.801776 | lrm: 1.00 | dt: 231ms | tok/sec: 284,296 | mfu: 22.5% | epoch: 1 | remaining: 279s    
step 00103 (7.1%) | loss: 4.787183 | lrm: 1.00 | dt: 230ms | tok/sec: 284,517 | mfu: 22.5% | epoch: 1 | remaining: 279s    
step 00104 (7.1%) | loss: 4.775763 | lrm: 1.00 | dt: 230ms | tok/sec: 284,465 | mfu: 22.5% | epoch: 1 | remaining: 278s    
step 00105 (7.2%) | loss: 4.757927 | lrm: 1.00 | dt: 230ms | tok/sec: 284,618 | mfu: 22.5% | epoch: 1 | remaining: 278s    
step 00106 (7.3%) | loss: 4.752625 | lrm: 1.00 | dt: 230ms | tok/sec: 284,484 | mfu: 22.5% | epoch: 1 | remaining: 278s    
step 00107 (7.4%) | loss: 4.747325 | lrm: 1.00 | dt: 230ms | tok/sec: 284,411 | mfu: 22.5% | epoch: 1 | remaining: 278s    
step 00108 (7.5%) | loss: 4.737538 | lrm: 1.00 | dt: 230ms | tok/sec: 284,392 | mfu: 22.5% | epoch: 1 | remaining: 277s    
step 00109 (7.5%) | loss: 4.728098 | lrm: 1.00 | dt: 230ms | tok/sec: 284,405 | mfu: 22.5% | epoch: 1 | remaining: 277s    
step 00110 (7.6%) | loss: 4.719904 | lrm: 1.00 | dt: 231ms | tok/sec: 284,171 | mfu: 22.5% | epoch: 1 | remaining: 277s    
step 00111 (7.7%) | loss: 4.707730 | lrm: 1.00 | dt: 230ms | tok/sec: 284,347 | mfu: 22.5% | epoch: 1 | remaining: 277s    
step 00112 (7.8%) | loss: 4.695005 | lrm: 1.00 | dt: 230ms | tok/sec: 284,370 | mfu: 22.5% | epoch: 1 | remaining: 276s    
step 00113 (7.8%) | loss: 4.687637 | lrm: 1.00 | dt: 230ms | tok/sec: 284,498 | mfu: 22.5% | epoch: 1 | remaining: 276s    
step 00114 (7.9%) | loss: 4.683958 | lrm: 1.00 | dt: 230ms | tok/sec: 284,384 | mfu: 22.5% | epoch: 1 | remaining: 276s    
step 00115 (8.0%) | loss: 4.673494 | lrm: 1.00 | dt: 230ms | tok/sec: 284,469 | mfu: 22.5% | epoch: 1 | remaining: 276s    
step 00116 (8.1%) | loss: 4.670777 | lrm: 1.00 | dt: 230ms | tok/sec: 284,390 | mfu: 22.5% | epoch: 1 | remaining: 276s    
step 00117 (8.1%) | loss: 4.663922 | lrm: 1.00 | dt: 230ms | tok/sec: 284,545 | mfu: 22.5% | epoch: 1 | remaining: 275s    
step 00118 (8.2%) | loss: 4.646343 | lrm: 1.00 | dt: 230ms | tok/sec: 284,414 | mfu: 22.5% | epoch: 1 | remaining: 275s    
step 00119 (8.3%) | loss: 4.635828 | lrm: 1.00 | dt: 231ms | tok/sec: 284,237 | mfu: 22.5% | epoch: 1 | remaining: 275s    
step 00120 (8.4%) | loss: 4.626169 | lrm: 1.00 | dt: 231ms | tok/sec: 284,246 | mfu: 22.5% | epoch: 1 | remaining: 275s    
step 00121 (8.4%) | loss: 4.615309 | lrm: 1.00 | dt: 230ms | tok/sec: 284,431 | mfu: 22.5% | epoch: 1 | remaining: 274s    
step 00122 (8.5%) | loss: 4.600957 | lrm: 1.00 | dt: 231ms | tok/sec: 284,306 | mfu: 22.5% | epoch: 1 | remaining: 274s    
step 00123 (8.6%) | loss: 4.588297 | lrm: 1.00 | dt: 231ms | tok/sec: 284,195 | mfu: 22.5% | epoch: 1 | remaining: 274s    
step 00124 (8.7%) | loss: 4.579271 | lrm: 1.00 | dt: 230ms | tok/sec: 284,420 | mfu: 22.5% | epoch: 1 | remaining: 274s    
step 00125 (8.8%) | loss: 4.571101 | lrm: 1.00 | dt: 231ms | tok/sec: 284,306 | mfu: 22.5% | epoch: 1 | remaining: 273s    
step 00126 (8.8%) | loss: 4.569993 | lrm: 1.00 | dt: 230ms | tok/sec: 284,361 | mfu: 22.5% | epoch: 1 | remaining: 273s    
step 00127 (8.9%) | loss: 4.559305 | lrm: 1.00 | dt: 231ms | tok/sec: 284,279 | mfu: 22.5% | epoch: 1 | remaining: 273s    
step 00128 (9.0%) | loss: 4.551153 | lrm: 1.00 | dt: 231ms | tok/sec: 284,162 | mfu: 22.5% | epoch: 1 | remaining: 273s    
step 00129 (9.1%) | loss: 4.543240 | lrm: 1.00 | dt: 230ms | tok/sec: 284,367 | mfu: 22.5% | epoch: 1 | remaining: 273s    
step 00130 (9.1%) | loss: 4.540674 | lrm: 1.00 | dt: 230ms | tok/sec: 284,494 | mfu: 22.5% | epoch: 1 | remaining: 272s    
step 00131 (9.2%) | loss: 4.526620 | lrm: 1.00 | dt: 230ms | tok/sec: 284,724 | mfu: 22.5% | epoch: 1 | remaining: 272s    
step 00132 (9.3%) | loss: 4.516362 | lrm: 1.00 | dt: 230ms | tok/sec: 284,359 | mfu: 22.5% | epoch: 1 | remaining: 272s    
step 00133 (9.4%) | loss: 4.504226 | lrm: 1.00 | dt: 230ms | tok/sec: 284,403 | mfu: 22.5% | epoch: 1 | remaining: 272s    
step 00134 (9.4%) | loss: 4.496545 | lrm: 1.00 | dt: 230ms | tok/sec: 284,341 | mfu: 22.5% | epoch: 1 | remaining: 271s    
step 00135 (9.5%) | loss: 4.491757 | lrm: 1.00 | dt: 230ms | tok/sec: 284,413 | mfu: 22.5% | epoch: 1 | remaining: 271s    
