wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b0cep5x7
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260311_093000-b0cep5x7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run protein-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/b0cep5x7
Track: protein
Vocab size: 24
Model config: {'sequence_len': 512, 'vocab_size': 24, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 7,680
  value_embeds            : 23,040
  lm_head                 : 7,680
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 8,640,492
Estimated FLOPs per token: 5.952288e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 3.177444 | lrm: 1.00 | dt: 3007ms | tok/sec: 21,792 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 3.353599 | lrm: 1.00 | dt: 1028ms | tok/sec: 63,759 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 3.626478 | lrm: 1.00 | dt: 136ms | tok/sec: 481,228 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 3.457834 | lrm: 1.00 | dt: 136ms | tok/sec: 480,665 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 3.345772 | lrm: 1.00 | dt: 136ms | tok/sec: 481,292 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 3.266561 | lrm: 1.00 | dt: 136ms | tok/sec: 481,442 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 3.204332 | lrm: 1.00 | dt: 136ms | tok/sec: 481,060 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 3.151898 | lrm: 1.00 | dt: 136ms | tok/sec: 481,426 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 3.111863 | lrm: 1.00 | dt: 136ms | tok/sec: 480,787 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 3.078146 | lrm: 1.00 | dt: 136ms | tok/sec: 481,376 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 3.050997 | lrm: 1.00 | dt: 136ms | tok/sec: 480,773 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 3.027939 | lrm: 1.00 | dt: 136ms | tok/sec: 481,651 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 3.008343 | lrm: 1.00 | dt: 136ms | tok/sec: 480,750 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 2.991790 | lrm: 1.00 | dt: 136ms | tok/sec: 481,598 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 2.977456 | lrm: 1.00 | dt: 136ms | tok/sec: 480,656 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 2.964887 | lrm: 1.00 | dt: 136ms | tok/sec: 481,304 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 2.953865 | lrm: 1.00 | dt: 136ms | tok/sec: 480,799 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 2.944767 | lrm: 1.00 | dt: 136ms | tok/sec: 481,182 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 2.937411 | lrm: 1.00 | dt: 136ms | tok/sec: 480,987 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 2.929330 | lrm: 1.00 | dt: 136ms | tok/sec: 481,341 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 2.922650 | lrm: 1.00 | dt: 136ms | tok/sec: 480,705 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 2.917361 | lrm: 1.00 | dt: 136ms | tok/sec: 482,053 | mfu: 23.0% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 2.914208 | lrm: 1.00 | dt: 136ms | tok/sec: 480,667 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 2.910503 | lrm: 1.00 | dt: 136ms | tok/sec: 481,505 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 2.906652 | lrm: 1.00 | dt: 136ms | tok/sec: 482,307 | mfu: 23.0% | epoch: 1 | remaining: 298s    
step 00058 (2.1%) | loss: 2.847292 | lrm: 1.00 | dt: 136ms | tok/sec: 482,263 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00059 (2.2%) | loss: 2.846093 | lrm: 1.00 | dt: 136ms | tok/sec: 482,856 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00060 (2.2%) | loss: 2.845973 | lrm: 1.00 | dt: 136ms | tok/sec: 482,304 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00061 (2.3%) | loss: 2.844583 | lrm: 1.00 | dt: 136ms | tok/sec: 482,664 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00062 (2.3%) | loss: 2.843999 | lrm: 1.00 | dt: 136ms | tok/sec: 482,138 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00063 (2.4%) | loss: 2.842932 | lrm: 1.00 | dt: 136ms | tok/sec: 482,311 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00064 (2.4%) | loss: 2.842335 | lrm: 1.00 | dt: 136ms | tok/sec: 482,000 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00065 (2.4%) | loss: 2.841882 | lrm: 1.00 | dt: 136ms | tok/sec: 482,823 | mfu: 23.0% | epoch: 1 | remaining: 293s    
step 00066 (2.5%) | loss: 2.841404 | lrm: 1.00 | dt: 136ms | tok/sec: 482,214 | mfu: 23.0% | epoch: 1 | remaining: 292s    
step 00067 (2.5%) | loss: 2.841623 | lrm: 1.00 | dt: 136ms | tok/sec: 482,720 | mfu: 23.0% | epoch: 1 | remaining: 292s    
step 00068 (2.6%) | loss: 2.840599 | lrm: 1.00 | dt: 136ms | tok/sec: 482,047 | mfu: 23.0% | epoch: 1 | remaining: 292s    
step 00069 (2.6%) | loss: 2.838548 | lrm: 1.00 | dt: 136ms | tok/sec: 482,649 | mfu: 23.0% | epoch: 1 | remaining: 292s    
step 00070 (2.7%) | loss: 2.837440 | lrm: 1.00 | dt: 136ms | tok/sec: 481,858 | mfu: 22.9% | epoch: 1 | remaining: 292s    
step 00071 (2.7%) | loss: 2.836135 | lrm: 1.00 | dt: 136ms | tok/sec: 482,551 | mfu: 23.0% | epoch: 1 | remaining: 292s    
step 00072 (2.8%) | loss: 2.836480 | lrm: 1.00 | dt: 136ms | tok/sec: 482,268 | mfu: 23.0% | epoch: 1 | remaining: 292s    
step 00073 (2.8%) | loss: 2.835775 | lrm: 1.00 | dt: 136ms | tok/sec: 482,491 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00074 (2.9%) | loss: 2.836027 | lrm: 1.00 | dt: 136ms | tok/sec: 482,288 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00075 (2.9%) | loss: 2.835882 | lrm: 1.00 | dt: 136ms | tok/sec: 482,506 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00076 (2.9%) | loss: 2.834769 | lrm: 1.00 | dt: 136ms | tok/sec: 482,077 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00077 (3.0%) | loss: 2.834378 | lrm: 1.00 | dt: 136ms | tok/sec: 482,658 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00078 (3.0%) | loss: 2.832582 | lrm: 1.00 | dt: 136ms | tok/sec: 482,071 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00079 (3.1%) | loss: 2.831765 | lrm: 1.00 | dt: 136ms | tok/sec: 482,510 | mfu: 23.0% | epoch: 1 | remaining: 291s    
step 00080 (3.1%) | loss: 2.831193 | lrm: 1.00 | dt: 136ms | tok/sec: 482,004 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00081 (3.2%) | loss: 2.831808 | lrm: 1.00 | dt: 136ms | tok/sec: 482,236 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00082 (3.2%) | loss: 2.831674 | lrm: 1.00 | dt: 136ms | tok/sec: 482,078 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00083 (3.3%) | loss: 2.831921 | lrm: 1.00 | dt: 136ms | tok/sec: 482,601 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00084 (3.3%) | loss: 2.832186 | lrm: 1.00 | dt: 136ms | tok/sec: 482,181 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00085 (3.4%) | loss: 2.832184 | lrm: 1.00 | dt: 136ms | tok/sec: 482,428 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00086 (3.4%) | loss: 2.832539 | lrm: 1.00 | dt: 136ms | tok/sec: 481,933 | mfu: 22.9% | epoch: 1 | remaining: 290s    
step 00087 (3.4%) | loss: 2.832326 | lrm: 1.00 | dt: 136ms | tok/sec: 482,723 | mfu: 23.0% | epoch: 1 | remaining: 290s    
step 00088 (3.5%) | loss: 2.831771 | lrm: 1.00 | dt: 136ms | tok/sec: 481,979 | mfu: 23.0% | epoch: 1 | remaining: 289s    
step 00089 (3.5%) | loss: 2.830922 | lrm: 1.00 | dt: 136ms | tok/sec: 482,637 | mfu: 23.0% | epoch: 1 | remaining: 289s    
step 00090 (3.6%) | loss: 2.830627 | lrm: 1.00 | dt: 136ms | tok/sec: 482,057 | mfu: 23.0% | epoch: 1 | remaining: 289s    
step 00091 (3.6%) | loss: 2.830335 | lrm: 1.00 | dt: 136ms | tok/sec: 482,817 | mfu: 23.0% | epoch: 1 | remaining: 289s    
step 00092 (3.7%) | loss: 2.829848 | lrm: 1.00 | dt: 136ms | tok/sec: 482,255 | mfu: 23.0% | epoch: 1 | remaining: 289s    
step 00093 (3.7%) | loss: 2.828787 | lrm: 1.00 | dt: 136ms | tok/sec: 482,666 | mfu: 23.0% | epoch: 1 | remaining: 289s    
step 00094 (3.8%) | loss: 2.829440 | lrm: 1.00 | dt: 136ms | tok/sec: 481,747 | mfu: 22.9% | epoch: 1 | remaining: 289s    
step 00095 (3.8%) | loss: 2.828298 | lrm: 1.00 | dt: 136ms | tok/sec: 482,784 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00096 (3.9%) | loss: 2.828085 | lrm: 1.00 | dt: 136ms | tok/sec: 482,165 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00097 (3.9%) | loss: 2.827325 | lrm: 1.00 | dt: 136ms | tok/sec: 482,875 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00098 (3.9%) | loss: 2.826623 | lrm: 1.00 | dt: 136ms | tok/sec: 482,054 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00099 (4.0%) | loss: 2.826744 | lrm: 1.00 | dt: 136ms | tok/sec: 482,131 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00100 (4.0%) | loss: 2.827322 | lrm: 1.00 | dt: 136ms | tok/sec: 482,209 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00101 (4.1%) | loss: 2.825916 | lrm: 1.00 | dt: 136ms | tok/sec: 482,863 | mfu: 23.0% | epoch: 1 | remaining: 288s    
step 00102 (4.1%) | loss: 2.827162 | lrm: 1.00 | dt: 136ms | tok/sec: 482,388 | mfu: 23.0% | epoch: 1 | remaining: 287s    
step 00103 (4.2%) | loss: 2.826378 | lrm: 1.00 | dt: 136ms | tok/sec: 482,784 | mfu: 23.0% | epoch: 1 | remaining: 287s    
step 00104 (4.2%) | loss: 2.826550 | lrm: 1.00 | dt: 136ms | tok/sec: 481,848 | mfu: 22.9% | epoch: 1 | remaining: 287s    
step 00105 (4.3%) | loss: 2.824685 | lrm: 1.00 | dt: 136ms | tok/sec: 482,629 | mfu: 23.0% | epoch: 1 | remaining: 287s    
step 00106 (4.3%) | loss: 2.824288 | lrm: 1.00 | dt: 136ms | tok/sec: 481,880 | mfu: 22.9% | epoch: 1 | remaining: 287s    
step 00107 (4.3%) | loss: 2.822195 | lrm: 1.00 | dt: 136ms | tok/sec: 482,434 | mfu: 23.0% | epoch: 1 | remaining: 287s    
step 00108 (4.4%) | loss: 2.821542 | lrm: 1.00 | dt: 136ms | tok/sec: 481,958 | mfu: 23.0% | epoch: 1 | remaining: 287s    
step 00109 (4.4%) | loss: 2.823265 | lrm: 1.00 | dt: 136ms | tok/sec: 482,439 | mfu: 23.0% | epoch: 1 | remaining: 287s    
step 00110 (4.5%) | loss: 2.823727 | lrm: 1.00 | dt: 136ms | tok/sec: 482,154 | mfu: 23.0% | epoch: 1 | remaining: 286s    
step 00111 (4.5%) | loss: 2.824482 | lrm: 1.00 | dt: 136ms | tok/sec: 482,731 | mfu: 23.0% | epoch: 1 | remaining: 286s    
step 00112 (4.6%) | loss: 2.823784 | lrm: 1.00 | dt: 136ms | tok/sec: 482,134 | mfu: 23.0% | epoch: 1 | remaining: 286s    
step 00113 (4.6%) | loss: 2.824393 | lrm: 1.00 | dt: 136ms | tok/sec: 482,410 | mfu: 23.0% | epoch: 1 | remaining: 286s    
step 00114 (4.7%) | loss: 2.823493 | lrm: 1.00 | dt: 136ms | tok/sec: 481,943 | mfu: 22.9% | epoch: 1 | remaining: 286s    
step 00115 (4.7%) | loss: 2.823056 | lrm: 1.00 | dt: 136ms | tok/sec: 482,746 | mfu: 23.0% | epoch: 1 | remaining: 286s    
step 00116 (4.8%) | loss: 2.822099 | lrm: 1.00 | dt: 136ms | tok/sec: 482,000 | mfu: 23.0% | epoch: 1 | remaining: 286s    
step 00117 (4.8%) | loss: 2.821295 | lrm: 1.00 | dt: 136ms | tok/sec: 482,761 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00118 (4.8%) | loss: 2.820773 | lrm: 1.00 | dt: 136ms | tok/sec: 482,029 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00119 (4.9%) | loss: 2.821107 | lrm: 1.00 | dt: 136ms | tok/sec: 482,579 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00120 (4.9%) | loss: 2.820781 | lrm: 1.00 | dt: 136ms | tok/sec: 482,181 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00121 (5.0%) | loss: 2.821516 | lrm: 1.00 | dt: 136ms | tok/sec: 482,709 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00122 (5.0%) | loss: 2.822012 | lrm: 1.00 | dt: 136ms | tok/sec: 481,978 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00123 (5.1%) | loss: 2.822264 | lrm: 1.00 | dt: 136ms | tok/sec: 482,599 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00124 (5.1%) | loss: 2.821769 | lrm: 1.00 | dt: 136ms | tok/sec: 482,060 | mfu: 23.0% | epoch: 1 | remaining: 285s    
step 00125 (5.2%) | loss: 2.822407 | lrm: 1.00 | dt: 136ms | tok/sec: 482,617 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00126 (5.2%) | loss: 2.821871 | lrm: 1.00 | dt: 136ms | tok/sec: 482,387 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00127 (5.3%) | loss: 2.822293 | lrm: 1.00 | dt: 136ms | tok/sec: 482,782 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00128 (5.3%) | loss: 2.822228 | lrm: 1.00 | dt: 136ms | tok/sec: 482,542 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00129 (5.3%) | loss: 2.823208 | lrm: 1.00 | dt: 136ms | tok/sec: 482,670 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00130 (5.4%) | loss: 2.823205 | lrm: 1.00 | dt: 136ms | tok/sec: 482,071 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00131 (5.4%) | loss: 2.822375 | lrm: 1.00 | dt: 136ms | tok/sec: 482,662 | mfu: 23.0% | epoch: 1 | remaining: 284s    
step 00132 (5.5%) | loss: 2.823845 | lrm: 1.00 | dt: 136ms | tok/sec: 482,247 | mfu: 23.0% | epoch: 1 | remaining: 283s    
step 00133 (5.5%) | loss: 2.823832 | lrm: 1.00 | dt: 136ms | tok/sec: 482,583 | mfu: 23.0% | epoch: 1 | remaining: 283s    
step 00134 (5.6%) | loss: 2.822877 | lrm: 1.00 | dt: 136ms | tok/sec: 481,978 | mfu: 23.0% | epoch: 1 | remaining: 283s    
step 00135 (5.6%) | loss: 2.823150 | lrm: 1.00 | dt: 136ms | tok/sec: 482,924 | mfu: 23.0% | epoch: 1 | remaining: 283s    
step 00136 (5.7%) | loss: 2.821201 | lrm: 1.00 | dt: 136ms | tok/sec: 482,274 | mfu: 23.0% | epoch: 1 | remaining: 283s    
