commit	val_bpb	memory_gb	status	description
exp034	3.999998	0.4	discard	reduce Adam beta1 0.8->0.75 on the 24576-batch protein best with 3% warmup and 65% warmdown to test whether slightly less smoothing improves embedding and scalar AdamW updates
exp035	3.999764	0.4	discard	set final lr floor 0.0->0.1 on the 24576-batch protein best with 3% warmup and 65% warmdown to test whether preserving a small late learning rate improves the current schedule
exp036	4.000730	0.4	discard	increase Adam beta2 0.95->0.975 on the 24576-batch protein best with 3% warmup and 65% warmdown to test whether smoother second-moment tracking improves embeddings and scalar AdamW updates without shifting beta1
exp037	3.990870	0.7	keep	increase protein device batch size 4->8 on the 24576-batch compile-disabled best with 3% warmup and 65% warmdown to test whether lower accumulation overhead improves throughput and val_bpb
exp038	3.990888	1.0	discard	increase protein device batch size 8->12 on the 24576-batch compile-disabled best with 3% warmup and 65% warmdown to test whether the lower accumulation overhead from exp037 still improves throughput and val_bpb
exp039	3.991356	0.7	discard	reduce lr warmup ratio 3%->2.5% on the device-batch-8 protein best with 65% warmdown to test whether the faster accumulation regime benefits from a slightly shorter ramp while staying above the rejected 2% setting
exp040	3.990149	0.7	keep	increase lr warmup ratio 3%->3.5% on the device-batch-8 protein best with 65% warmdown to test whether the faster accumulation regime benefits from a slightly longer ramp after rejecting 2.5%
exp041	3.990596	0.7	discard	increase lr warmup ratio 3.5%->4% on the device-batch-8 protein best with 65% warmdown to test whether the faster accumulation regime benefits from a slightly longer ramp after the exp040 gain
exp042	3.991007	0.7	discard	increase lr warmdown ratio 65%->67.5% on the device-batch-8 protein best with 3.5% warmup to test whether the faster accumulation regime benefits from a slightly gentler late decay after the exp040 gain
exp043	3.992134	0.7	discard	reduce lr warmup ratio 3.5%->3.25% on the device-batch-8 protein best with 65% warmdown to refine the current warmup optimum after exp040 improved and exp041 rejected the higher side
exp044	3.990230	0.7	discard	reduce Muon weight decay 0.2->0.18 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether slightly lighter matrix regularization improves the current optimum
exp045	0.000000	0.0	crash	increase Muon weight decay 0.2->0.22 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether slightly stronger matrix regularization helps in the faster accumulation regime after the rejected 0.18 setting
exp046	3.990667	0.7	discard	reduce lr warmdown ratio 65%->62.5% on the device-batch-8 protein best with 3.5% warmup to test whether a slightly earlier late decay improves on the rejected 67.5% setting
exp047	3.990214	0.7	discard	reduce Muon matrix lr 0.04->0.035 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether the faster accumulation regime benefits from slightly smaller matrix updates
exp048	3.990678	0.7	discard	reduce Adam beta2 0.95->0.925 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether slightly faster second-moment adaptation improves AdamW-updated embeddings and scalar parameters
exp049	3.992002	0.7	discard	reduce total batch size 24576->20480 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether one fewer accumulation step and slightly more frequent updates improve val_bpb
exp050	3.991344	0.7	discard	increase Adam beta2 0.95->0.96 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether slightly smoother second-moment tracking improves AdamW-updated embeddings and scalar parameters after the rejected 0.925 setting
exp051	3.990704	0.7	discard	increase Adam beta1 0.8->0.825 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether slightly smoother AdamW first-moment tracking improves embeddings and scalar parameters in the faster accumulation regime
exp052	0.000000	0.0	crash	set final lr floor 0.0->0.05 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether preserving a small late learning rate helps the faster accumulation regime after the earlier 0.1 floor regressed on the old best
exp053	3.992083	0.7	discard	reduce Adam beta1 0.8->0.775 on the device-batch-8 protein best with 3.5% warmup and 65% warmdown to test whether slightly less first-moment smoothing improves AdamW-updated embeddings and scalar parameters after the rejected 0.825 setting
exp054	3.990131	0.7	keep	increase lr warmup ratio 3.5%->3.75% on the device-batch-8 protein best with 65% warmdown to refine the apparent higher-side warmup optimum after 4.0% only slightly regressed
exp055	3.991358	0.7	discard	reduce lr warmdown ratio 65%->60% on the device-batch-8 protein best with 3.75% warmup to test whether the new warmup optimum prefers a slightly earlier late decay
exp056	3.995255	0.7	discard	increase lr warmup ratio 3.75%->3.875% on the device-batch-8 protein best with 65% warmdown to refine the apparent higher-side warmup optimum after 4.0% only slightly regressed while 3.75% improved
exp057	3.995090	0.7	discard	increase Muon matrix lr 0.04->0.0425 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether the improved schedule benefits from slightly more aggressive matrix updates after the 0.035 decrease slightly regressed
exp058	3.995162	0.7	discard	reduce lr warmup ratio 3.75%->3.625% on the device-batch-8 protein best with 65% warmdown to refine the local warmup optimum after 3.25% regressed and 3.875% overshot
exp059	3.991100	0.7	discard	increase lr warmdown ratio 65%->66.25% on the device-batch-8 protein best with 3.75% warmup to test whether the improved warmup prefers a slightly gentler late decay after 67.5% was too high on the older warmup
exp060	3.990575	0.7	discard	reduce embedding/value-embedding AdamW lr 0.6->0.55 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether slightly smaller AdamW updates improve the exp054 schedule
exp061	3.990433	0.7	discard	increase embedding/value-embedding AdamW lr 0.6->0.65 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether slightly larger AdamW updates improve the exp054 schedule after the 0.55 decrease regressed
exp062	3.991360	0.7	discard	reduce Muon matrix lr 0.04->0.0375 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to refine the lower side after 0.035 only slightly regressed while 0.0425 overshot
exp063	3.990335	0.7	discard	increase unembedding AdamW lr 0.004->0.005 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether slightly larger lm-head updates improve the exp054 schedule
exp064	3.994058	0.7	discard	reduce unembedding AdamW lr 0.004->0.003 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether slightly smaller lm-head updates improve the exp054 schedule after the 0.005 increase regressed
exp065	3.990483	0.7	discard	reduce Muon weight decay 0.2->0.19 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether a narrower decrease than the rejected 0.18 improves the exp054 schedule
exp066	3.991218	0.7	discard	increase unembedding AdamW lr 0.004->0.0045 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to refine the higher side after 0.005 only slightly regressed while 0.003 was much worse
exp067	3.990786	0.7	discard	reduce lr warmdown ratio 65%->63.75% on the device-batch-8 protein best with 3.75% warmup to refine the lower side after 62.5% and 60% underperformed while 65% remains the current optimum
exp068	3.990084	0.7	keep	increase Muon weight decay 0.2->0.205 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether the local optimum sits slightly above 0.2 after 0.19 and 0.18 regressed
exp069	3.991848	0.7	discard	increase Muon weight decay 0.205->0.21 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to test whether the local optimum continues upward after exp068 improved over 0.2
exp070	3.995241	0.7	discard	increase Muon weight decay 0.205->0.2075 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to refine the interval between the exp068 improvement and the 0.21 regression
exp071	3.991689	0.7	discard	reduce Muon weight decay 0.205->0.2025 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to refine the untested interval between the 0.2 baseline and the exp068 improvement
exp072	3.992510	0.7	discard	increase Muon matrix lr 0.04->0.04125 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe the remaining higher-side interval after 0.0375 regressed slightly and 0.0425 overshot
exp073	3.997058	0.7	discard	reduce Muon weight decay 0.205->0.20375 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to refine the narrow lower-side interval after exp068 improved but 0.2025 regressed
exp074	3.991411	0.7	discard	increase Adam beta1 0.8->0.8125 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to retest slightly smoother AdamW first-moment tracking on the current best after the broader 0.825 change regressed on the older schedule
exp075	3.992514	0.7	discard	increase Muon weight decay 0.205->0.20625 on the device-batch-8 protein best with 3.75% warmup and 65% warmdown to refine the narrow upper interval after exp068 improved while 0.2075 and 0.21 overshot
exp076	3.991404	0.7	discard	increase embedding/value-embedding AdamW lr 0.6->0.625 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to retest slightly larger AdamW embedding updates on the improved exp068 setting after 0.65 only slightly regressed on the older 0.2-weight-decay schedule
exp077	3.995595	0.7	discard	reduce scalar AdamW lr 0.5->0.45 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to test whether slightly gentler residual-lambda and x0 scalar updates improve the stabilized exp068 setting
exp078	3.990842	0.7	discard	reduce embedding/value-embedding AdamW lr 0.6->0.575 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to retest the lower side under the improved exp068 setting after 0.55 regressed on the older 0.2-weight-decay schedule while 0.625 regressed on the new setting
exp079	3.990615	0.7	discard	increase unembedding AdamW lr 0.004->0.005 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to retest slightly larger lm-head updates after exp068 improved the schedule
exp080	3.990917	0.7	discard	reduce Muon matrix lr 0.04->0.039 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe the narrow lower-side interval after 0.0375 only slightly regressed while higher-side increases overshot
exp081	3.991197	0.7	discard	reduce lr warmdown ratio 65%->64.375% on the device-batch-8 protein best with Muon weight decay 0.205 and 3.75% warmup to probe the remaining lower-side interval after 63.75% underperformed while 65% remains the current optimum
exp082	3.990629	0.7	discard	increase scalar AdamW lr 0.5->0.55 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to test whether slightly stronger residual-lambda and x0 scalar updates improve the stabilized exp068 setting after the 0.45 decrease regressed
exp083	4.001946	0.7	discard	reduce Adam beta1 0.8->0.7875 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe the untested lower side of first-moment smoothing after the higher-side beta1 increases regressed on this improved schedule
exp084	3.990973	0.7	discard	reduce Adam beta2 0.95->0.945 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe whether slightly faster second-moment adaptation helps under the improved exp068 schedule after earlier broader beta2 changes regressed
exp085	3.991044	0.7	discard	increase Adam beta2 0.95->0.955 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe the remaining near-best higher side of second-moment smoothing after the 0.945 decrease regressed
exp086	3.990830	0.7	discard	reduce embedding/value-embedding AdamW lr 0.6->0.5875 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe a finer lower-side interval after 0.575 regressed only slightly while 0.625 regressed more clearly
exp087	3.995591	0.7	discard	increase lr warmup ratio 3.75%->4.0% on the device-batch-8 protein best with Muon weight decay 0.205 and 65% warmdown to retest the slightly longer ramp after exp041 only slightly regressed on the older 0.2-weight-decay schedule
exp088	3.995716	0.7	discard	reduce Muon matrix lr 0.04->0.0395 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe a finer lower-side interval after 0.039 only slightly regressed while 0.04125 overshot and 0.0375 was worse
exp089	3.995945	0.7	discard	increase scalar AdamW lr 0.5->0.525 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe whether a smaller higher-side scalar step can improve exp068 after 0.55 regressed only slightly while 0.45 was clearly worse
exp090	3.995798	0.7	discard	reduce embedding/value-embedding AdamW lr 0.6->0.59375 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe a finer lower-side interval after 0.5875 regressed only slightly while 0.625 regressed more clearly
exp091	3.990934	0.7	discard	increase Muon matrix lr 0.04->0.04025 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe the narrow remaining higher-side interval after 0.039 and 0.0395 regressed while 0.04125 overshot
exp092	3.990959	0.7	discard	increase final Muon momentum 0.95->0.96 while keeping the 0.85 start and 300-step ramp on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to test whether slightly smoother matrix updates improve on the sharp matrix-lr optimum around 0.04
exp093	3.994796	0.7	discard	reduce final Muon momentum 0.95->0.94 while keeping the 0.85 start and 300-step ramp on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to test whether slightly less smoothing improves on the sharp matrix-lr optimum around 0.04
exp094	3.991480	0.7	discard	increase lr warmdown ratio 65%->65.625% on the device-batch-8 protein best with Muon weight decay 0.205 and 3.75% warmup to probe whether the improved weight-decay optimum shifts the late-decay optimum slightly upward after lower-side refinements regressed and 66.25% only slightly regressed on the older 0.2-weight-decay schedule
exp095	3.992012	0.7	discard	increase unembedding AdamW lr 0.004->0.00475 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe a finer higher-side interval after 0.005 only slightly regressed on the improved schedule while 0.0045 regressed more clearly on the pre-exp068 schedule
exp096	3.991887	0.7	discard	reduce lr warmup ratio 3.75%->3.625% on the device-batch-8 protein best with Muon weight decay 0.205 and 65% warmdown to probe the narrow lower-side interval after 3.5% was nearly tied while higher-side warmup increases regressed
exp097	3.990230	0.7	discard	increase final Muon momentum 0.95->0.955 while keeping the 0.85 start and 300-step ramp on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to probe whether a smaller higher-side momentum increase improves on the sharp 0.95 optimum after 0.96 regressed only slightly while 0.94 was clearly worse
exp098	3.994978	0.7	discard	reduce Muon beta2 0.95->0.94 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to test whether slightly faster matrix second-moment adaptation improves the sharp exp068 optimum after nearby matrix-lr and momentum probes regressed
exp099	3.993153	0.7	discard	increase Muon beta2 0.95->0.96 on the device-batch-8 protein best with Muon weight decay 0.205, 3.75% warmup, and 65% warmdown to test whether slightly smoother matrix second-moment adaptation improves the exp068 optimum after the 0.94 decrease regressed
